text,category
"Galatasaray şampiyon oldu","spor"
"Türkiye'deki enflasyon oranı arttı","ekonomi"
"Hükümet yeni eğitim reformunu açıkladı","politika"
"Apple yeni iPhone modelini tanıttı","teknoloji"
"Futbol dünyasında dev transfer bombası","spor"
"Ülkede işsizlik oranı yükseldi","ekonomi"
"Seçimler için partiler kampanyalarını başlattı","politika"
"Google yeni arama algoritmasını duyurdu","teknoloji"
"Beşiktaş, Fenerbahçe'yi yendi","spor"
"Yeni ekonomik reformlar tartışılıyor","ekonomi"
"Cumhurbaşkanı yeni açıklamalarda bulundu","politika"
"Facebook, veri güvenliği güncellemeleri yaptı","teknoloji"
"Galatasaray'dan 5 yıllık yeni sözleşme","spor"
"Yüksek enflasyon maaşları etkiliyor","ekonomi"
"Seçim yasası değişiklikleri tartışılıyor","politika"
"Microsoft yeni Windows 11'i tanıttı","teknoloji"
"Futbol turnuvası başlıyor","spor"
"Ekonomik kriz dünya çapında etkili oluyor","ekonomi"
"Parlamentoda bütçe görüşmeleri başladı","politika"
"Tesla yeni elektrikli araç modelini duyurdu","teknoloji"
"Fenerbahçe Avrupa kupasında çeyrek finale yükseldi","spor"
"Çalışanlar yeni zam tekliflerini kabul etti","ekonomi"
"Yeni anayasa değişiklikleri gündemde","politika"
"Google, yapay zeka alanında önemli gelişmeler açıkladı","teknoloji"
"Yerli futbolcular transfer edilecek","spor"
"Türk ekonomisinde büyüme beklentisi","ekonomi"
"Yerel seçim sonuçları açıklandı","politika"
"Apple, iPhone X'in yeni modelini tanıttı","teknoloji"
"Futbol kulübü yeni sponsor ile anlaşma sağladı","spor"
"Ülkede elektrik zamları gündemde","ekonomi"
"Yeni hükümet kararnamesi yayınlandı","politika"
"Amazon, yeni ürünlerini tanıttı","teknoloji"
"Beşiktaş transfer dönemi başlıyor","spor"
"Ekonomideki dalgalanma yatırımcıları endişelendiriyor","ekonomi"
"Meclis yeni yasaları görüşmeye başladı","politika"
"Netflix Türkiye'de yeni içerikler yayınlayacak","teknoloji"
"Galatasaray yeni yıldızını kadrosuna kattı","spor"
"Türkiye'de işsizlik oranı %15'e ulaştı","ekonomi"
"Seçimlerin sonucu tüm ülkede büyük yankı uyandırdı","politika"
"Apple iPhone'un yeni özelliğini tanıttı","teknoloji"
"Futbol maçına yoğun ilgi","spor"
"Türkiye'deki enflasyon rekor kırdı","ekonomi"
"Yeni anayasa değişiklikleri öneriliyor","politika"
"Tesla yeni araç modeli ile büyük beğeni topladı","teknoloji"
"Fenerbahçe UEFA kupasında finale yükseldi","spor"
"Ekonomik kriz tüm dünyada hissediliyor","ekonomi"
"Başbakan yeni iş gücü reformlarını açıkladı","politika"
"Google, yeni arama algoritması ile verimliliği artırıyor","teknoloji"
"Futbol turnuvası başladı","spor"
"Yüksek enflasyon şirketleri etkiliyor","ekonomi"
"Yeni hükümet kararnamesi yayınlandı","politika"
"Facebook yeni güvenlik önlemlerini açıkladı","teknoloji"
"Fenerbahçe'den büyük transfer bombası","spor"
"Türk ekonomisinde büyüme bekleniyor","ekonomi"
"Seçim sonuçları tüm dünyada dikkatle izleniyor","politika"
"Google yeni yapay zeka sistemini duyurdu","teknoloji"
"Beşiktaş, sezonun ilk maçını kazandı","spor"
"Yüksek faiz oranları yatırımcıları etkiliyor","ekonomi"
"Yeni anayasa değişiklikleri gündemde","politika"
"Microsoft, yapay zeka alanında devrim yaratacak adımlar attı","teknoloji"
"Futbol kulübü yeni sezon için hazırlıklarını sürdürüyor","spor"
"Ekonomik büyüme tüm dünya ekonomisini etkiliyor","ekonomi"
"Parlamentoda yeni yasa tasarısı görüşülüyor","politika"
"Apple, yeni iPhone'u tanıttı","teknoloji"
"Futbol takımı yeni sponsor ile anlaşma sağladı","spor"
"Türkiye ekonomisi güçlü bir büyüme gösteriyor","ekonomi"
"Yeni hükümet kararnamesi çıktı","politika"
"Google, mobil arama algoritmasını değiştirdi","teknoloji"
"Fenerbahçe yeni transferi açıkladı","spor"
"Ülkede işsizlik oranı yüksek","ekonomi"
"Meclis yeni düzenlemeler üzerinde çalışıyor","politika"
"Amazon, Türkiye pazarına yeni ürünler sunuyor","teknoloji"
"Futbol şampiyonası başladı","spor"
"Türk ekonomisinde önemli büyüme kaydedildi","ekonomi"
"Seçimler sonucu Türkiye'de büyük değişim yaratabilir","politika"
"Apple, yeni teknolojilerle iPhone'u geliştirdi","teknoloji"
"Fenerbahçe Avrupa'da kazanmaya devam ediyor","spor"
"Yüksek enflasyon ekonomik dengeyi zorluyor","ekonomi"
"Seçim yasası değişiyor","politika"
"Tesla'nın yeni elektrikli araçları piyasada","teknoloji"
"Beşiktaş Avrupa'da büyük galibiyet aldı","spor"
"Yeni ekonomi paketi açıklanacak","ekonomi"
"Başbakan yeni hükümet politikalarını açıkladı","politika"
"Google yeni arama özelliklerini duyurdu","teknoloji"
"Futbol takımının yeni oyuncuları büyük ilgi gördü","spor"
"Türkiye'deki ekonomi durumu iyileşiyor","ekonomi"
"Seçim sonuçları halkı etkilemeye devam ediyor","politika"
"Amazon yeni ürünleriyle pazarda büyük ilgi gördü","teknoloji"
